"filename", "language", "HTML", "TypeScript", "JSON with Comments", "JSON", "CSS", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/index.html", "HTML", 13, 0, 0, 0, 0, 0, 1, 14
"/Users/rock/Documents/Projekti/project-manager/client/package.json", "JSON", 0, 0, 0, 15, 0, 0, 1, 16
"/Users/rock/Documents/Projekti/project-manager/client/src/Assets/Icons.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 17
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/MainContent.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/Sidebar.ts", "TypeScript", 0, 124, 0, 0, 0, 4, 17, 145
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/DashboardController.ts", "TypeScript", 0, 170, 0, 0, 0, 5, 16, 191
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/ProjectsController.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 6
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/ReportsController.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 6
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/TasksController.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 6
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/TeamsController.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 6
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/ErrorController.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/rock/Documents/Projekti/project-manager/client/src/Routes/Router.ts", "TypeScript", 0, 35, 0, 0, 0, 4, 11, 50
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/Store.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 10, 59
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Dashboard.css", "CSS", 0, 0, 0, 0, 72, 2, 14, 88
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/MainContent.css", "CSS", 0, 0, 0, 0, 6, 0, 1, 7
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Root.css", "CSS", 0, 0, 0, 0, 11, 0, 3, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Sidebar.css", "CSS", 0, 0, 0, 0, 83, 0, 15, 98
"/Users/rock/Documents/Projekti/project-manager/client/src/Types/css.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 4
"/Users/rock/Documents/Projekti/project-manager/client/src/Utils/Helpers.ts", "TypeScript", 0, 18, 0, 0, 0, 3, 4, 25
"/Users/rock/Documents/Projekti/project-manager/client/src/index.html", "HTML", 12, 0, 0, 0, 0, 0, 2, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/main.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 4, 21
"/Users/rock/Documents/Projekti/project-manager/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/rock/Documents/Projekti/project-manager/client/tsconfig.json", "JSON with Comments", 0, 0, 19, 0, 0, 2, 3, 24
"Total", "-", 25, 467, 19, 15, 172, 21, 109, 828
