"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/src/Assets/Icons.ts", "TypeScript", 3, 0, 0, 1, 4
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/ProjectController.ts", "TypeScript", 86, 0, 1, 6, 93
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/ProjectsController.ts", "TypeScript", -1, 0, 0, 1, 0
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/ProjectPopupControllers/ProjectPopupController.ts", "TypeScript", 19, 0, 0, 0, 19
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/ProjectPopupControllers/ProjectPopupMemberController.ts", "TypeScript", 16, 0, 0, 0, 16
"/Users/rock/Documents/Projekti/project-manager/client/src/Routes/Router.ts", "TypeScript", -3, 0, 0, 0, -3
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/ApiService.ts", "TypeScript", 1, 0, 0, 0, 1
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/AuthService.ts", "TypeScript", -1, 0, 0, 0, -1
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/ProjectsService.ts", "TypeScript", 2, 0, 0, 1, 3
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/TaskService.ts", "TypeScript", -1, 0, 0, 0, -1
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/Store.ts", "TypeScript", -3, 0, 0, 0, -3
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/UserStore.ts", "TypeScript", 6, 0, 0, 1, 7
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Project.css", "CSS", 0, 38, 0, 6, 44
"Total", "-", 124, 38, 1, 16, 179
