"filename", "language", "TypeScript", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/jest.config.cjs", "JavaScript", 0, 0, 0, 10, 3, 3, 16
"/Users/rock/Documents/Projekti/project-manager/client/jest.setup.js", "JavaScript", 0, 0, 0, 57, 0, 7, 64
"/Users/rock/Documents/Projekti/project-manager/client/package-lock.json", "JSON", 0, 0, 4713, 0, 0, 0, 4713
"/Users/rock/Documents/Projekti/project-manager/client/package.json", "JSON", 0, 0, 8, 0, 0, 0, 8
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/PopupModal.ts", "TypeScript", 0, 0, 0, 0, -30, -1, -31
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/Sidebar.ts", "TypeScript", 58, 0, 0, 0, -6, 1, 53
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/AuthService.ts", "TypeScript", -1, 0, 0, 0, 0, 0, -1
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/TaskService.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/Store.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Root.css", "CSS", 0, 15, 0, 0, 0, 1, 16
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/SectionHeader.css", "CSS", 0, -1, 0, 0, 0, 0, -1
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/UpperInnerSection.css", "CSS", 0, -6, 0, 0, 0, 1, -5
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Sidebar.css", "CSS", 0, 36, 0, 0, 0, 10, 46
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Dashboard/Dashboard.css", "CSS", 0, 289, 0, 0, -33, 36, 292
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Dashboard/QuickTaskPopup.css", "CSS", 0, 89, 0, 0, 0, 14, 103
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Project/Project.css", "CSS", 0, 18, 0, 0, 0, 1, 19
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Project/ProjectMemberPopup.css", "CSS", 0, 37, 0, 0, 3, 8, 48
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Project/ProjectPopup.css", "CSS", 0, 30, 0, 0, 2, 5, 37
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Projects.css", "CSS", 0, 40, 0, 0, 2, 5, 47
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Tasks/TaskDetailsPopup.css", "CSS", 0, 2, 0, 0, 0, 0, 2
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Tasks/Tasks.css", "CSS", 0, 109, 0, 0, 3, 17, 129
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Teams/Team/AddMemberEditTeam.css", "CSS", 0, 16, 0, 0, 0, 3, 19
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Teams/Team/Team.css", "CSS", 0, 38, 0, 0, 0, 7, 45
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Teams/Teams.css", "CSS", 0, -56, 0, 0, 1, -14, -69
"/Users/rock/Documents/Projekti/project-manager/client/src/Tests/team.test.ts", "TypeScript", 66, 0, 0, 0, 17, 19, 102
"/Users/rock/Documents/Projekti/project-manager/client/src/Types/ProjectsTypes.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"/Users/rock/Documents/Projekti/project-manager/client/src/Utils/Helpers.ts", "TypeScript", 143, 0, 0, 0, 5, 11, 159
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Dashboard/DashboardView.ts", "TypeScript", 264, 0, 0, 0, -2, 18, 280
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Dashboard/QuickTaskPopup.ts", "TypeScript", 162, 0, 0, 0, 3, 13, 178
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectPopups/ProjectTaskPopup.ts", "TypeScript", 118, 0, 0, 0, 13, 13, 144
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectPopups/ProjectViewPopup.ts", "TypeScript", -3, 0, 0, 0, 0, 0, -3
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectView.ts", "TypeScript", -1, 0, 0, 0, 0, -1, -2
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectViewMemberManager.ts", "TypeScript", -33, 0, 0, 0, -2, -1, -36
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectViewTaskManager.ts", "TypeScript", 2, 0, 0, 0, -1, 0, 1
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectsPage/ProjectsPopup/CreateNewProject.ts", "TypeScript", 83, 0, 0, 0, 85, 11, 179
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectsPage/ProjectsView.ts", "TypeScript", -51, 0, 0, 0, -5, -6, -62
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberContainer.ts", "TypeScript", 52, 0, 0, 0, 2, 4, 58
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberCreateTeamPopup.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 6
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberEditTeam.ts", "TypeScript", 20, 0, 0, 0, 3, 3, 26
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberProjectPopup.ts", "TypeScript", -10, 0, 0, 0, 0, -1, -11
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Tasks/TaskDetails/TaskDetailsPopup.ts", "TypeScript", -23, 0, 0, 0, 0, -1, -24
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Tasks/TasksView.ts", "TypeScript", 272, 0, 0, 0, -84, 24, 212
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamPage/TeamMembersManager.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamPage/TeamView.ts", "TypeScript", 8, 0, 0, 0, 4, 9, 21
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamsPage/TeamsView.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 20
"/Users/rock/Documents/Projekti/project-manager/client/src/main.ts", "TypeScript", 1, 0, 0, 0, -1, 0, 0
"Total", "-", 1173, 656, 4721, 67, -18, 221, 6820
